time,voltage,current
443.559983,2.993575,1.999616
444.079977,2.993236,1.999616
444.599977,2.992897,1.999603
445.119984,2.992554,1.999616
445.639978,2.992214,1.999603
446.159991,2.991868,1.999590
446.679975,2.991530,1.999537
447.199975,2.991191,1.999629
447.719974,2.990847,1.999616
448.239977,2.990506,1.999603
448.759973,2.990163,1.999590
449.279972,2.989822,1.999603
449.799978,2.989479,1.999629
450.319987,2.989133,1.999603
450.839970,2.988793,1.999629
451.359977,2.988447,1.999564
451.879973,2.988098,1.999590
452.399977,2.987753,1.999577
452.919976,2.987405,1.999629
453.439972,2.987060,1.999616
453.959973,2.986713,1.999603
454.479973,2.986366,1.999590
454.999976,2.986022,1.999603
455.519973,2.985670,1.999616
456.040022,2.985323,1.999629
456.559978,2.984976,1.999603
457.079978,2.984630,1.999603
457.599979,2.984282,1.999590
458.119979,2.983936,1.999616
458.639978,2.983589,1.999616
459.159986,2.983239,1.999616
459.679995,2.982892,1.999564
460.199983,2.982540,1.999590
460.719984,2.982190,1.999629
461.239983,2.981838,1.999590
461.759977,2.981482,1.999590
462.279976,2.981130,1.999590
462.799967,2.980779,1.999629
463.319942,2.980425,1.999629
463.839957,2.980071,1.999603
464.359946,2.979716,1.999564
464.879945,2.979363,1.999616
465.399941,2.979014,1.999616
465.919944,2.978659,1.999603
466.439944,2.978308,1.999616
466.959943,2.977956,1.999629
467.479952,2.977600,1.999642
467.999956,2.977249,1.999590
468.519961,2.976893,1.999603
469.039949,2.976543,1.999590
469.559947,2.976189,1.999629
470.079947,2.975829,1.999616
470.599959,2.975468,1.999603
471.119962,2.975113,1.999603
471.639960,2.974761,1.999655
472.159974,2.974400,1.999642
472.679989,2.974051,1.999603
473.199971,2.973694,1.999629
473.719974,2.973339,1.999642
474.239972,2.972982,1.999603
474.759974,2.972622,1.999590
475.279974,2.972265,1.999590
475.799974,2.971908,1.999629
476.319977,2.971544,1.999616
476.839982,2.971186,1.999616
477.359974,2.970827,1.999564
477.879979,2.970467,1.999616
478.399976,2.970108,1.999629
478.919979,2.969746,1.999642
479.439972,2.969386,1.999655
479.959972,2.969027,1.999616
480.479975,2.968662,1.999616
480.999972,2.968305,1.999603
481.519972,2.967943,1.999642
482.039982,2.967582,1.999590
482.559983,2.967220,1.999616
483.079980,2.966855,1.999603
483.599978,2.966488,1.999590
484.119974,2.966131,1.999590
484.639976,2.965762,1.999616
485.160000,2.965397,1.999629
485.679987,2.965028,1.999655
486.199965,2.964661,1.999629
486.719989,2.964298,1.999590
487.239966,2.963927,1.999603
487.759950,2.963560,1.999629
488.279961,2.963192,1.999629
488.799959,2.962823,1.999616
489.319952,2.962452,1.999642
489.839948,2.962081,1.999616
490.359961,2.961715,1.999616
490.879962,2.961345,1.999616
491.399960,2.960971,1.999642
491.919974,2.960602,1.999616
492.439979,2.960229,1.999616
492.959984,2.959858,1.999642
493.479977,2.959483,1.999642
493.999974,2.959108,1.999629
494.519973,2.958735,1.999603
495.039972,2.958356,1.999603
495.559978,2.957981,1.999642
496.080039,2.957606,1.999629
496.599971,2.957224,1.999616
497.120001,2.956841,1.999642
497.639975,2.956455,1.999616
498.159991,2.956073,1.999603
498.679974,2.955691,1.999655
499.199971,2.955309,1.999642
499.719979,2.954929,1.999550
500.239976,2.954549,1.999642
500.759980,2.954162,1.999655
501.279974,2.953780,1.999629
501.799962,2.953392,1.999616
502.319960,2.953009,1.999642
502.839957,2.952626,1.999629
503.359963,2.952241,1.999616
503.879942,2.951854,1.999616
504.399960,2.951472,1.999603
504.919946,2.951080,1.999629
505.439957,2.950689,1.999590
505.959978,2.950298,1.999616
506.479976,2.949908,1.999603
506.999979,2.949515,1.999642
507.519971,2.949121,1.999642
508.039976,2.948726,1.999616
508.559942,2.948328,1.999616
509.079967,2.947925,1.999629
509.600004,2.947528,1.999629
510.119969,2.947123,1.999642
510.639966,2.946716,1.999603
511.159975,2.946311,1.999590
511.679968,2.945907,1.999629
512.199957,2.945505,1.999655
512.719951,2.945107,1.999616
513.239957,2.944705,1.999616
513.759965,2.944309,1.999616
514.279984,2.943907,1.999642
514.799968,2.943507,1.999642
515.319960,2.943114,1.999642
515.839959,2.942713,1.999642
516.359962,2.942309,1.999616
516.879951,2.941911,1.999616
517.399960,2.941514,1.999616
517.919970,2.941118,1.999655
518.439963,2.940718,1.999642
518.959961,2.940320,1.999629
519.479963,2.939922,1.999642
519.999961,2.939514,1.999655
520.519942,2.939103,1.999668
521.039956,2.938699,1.999616
521.559961,2.938286,1.999629
522.079960,2.937885,1.999603
522.599982,2.937472,1.999668
523.119978,2.937061,1.999668
523.639971,2.936650,1.999603
524.159987,2.936236,1.999629
524.679976,2.935821,1.999668
525.199951,2.935407,1.999655
525.719976,2.934993,1.999629
526.239954,2.934579,1.999616
526.759941,2.934166,1.999642
527.279947,2.933748,1.999668
527.799952,2.933333,1.999668
528.319941,2.932919,1.999642
528.839958,2.932503,1.999629
529.359973,2.932090,1.999655
529.879948,2.931674,1.999642
530.399942,2.931261,1.999603
530.919939,2.930847,1.999616
531.439941,2.930432,1.999629
531.959944,2.930014,1.999642
532.479943,2.929596,1.999616
532.999963,2.929175,1.999616
533.519960,2.928761,1.999629
534.039961,2.928339,1.999642
534.559948,2.927921,1.999629
535.079965,2.927499,1.999564
535.599958,2.927081,1.999629
536.119940,2.926662,1.999642
536.639943,2.926241,1.999642
537.159986,2.925815,1.999616
537.679982,2.925389,1.999642
538.199973,2.924957,1.999642
538.719974,2.924526,1.999642
539.239979,2.924094,1.999629
539.759970,2.923658,1.999590
540.279976,2.923226,1.999642
540.799980,2.922795,1.999642
541.319976,2.922366,1.999629
541.839977,2.921935,1.999642
542.359975,2.921512,1.999655
542.880022,2.921081,1.999655
543.399941,2.920653,1.999629
543.919976,2.920227,1.999629
544.439983,2.919800,1.999655
544.959975,2.919377,1.999655
545.479976,2.918954,1.999642
545.999978,2.918527,1.999629
546.519973,2.918103,1.999616
547.039975,2.917680,1.999655
547.559942,2.917252,1.999642
548.080015,2.916825,1.999603
