seconds,	voltage
1216.075854,	142.331030	
1217.485849,	142.329480	
1218.895837,	142.327800	
1220.305851,	142.326380	
1221.715848,	142.324700	
1223.125840,	142.323280	
1224.535853,	142.321470	
1225.945848,	142.319790	
1227.355845,	142.318110	
1228.765851,	142.316300	
1230.175843,	142.314750	
1231.585842,	142.313330	
1232.995844,	142.311650	
1234.405895,	142.310100	
1235.815848,	142.308290	
1237.225847,	142.306870	
1238.635844,	142.305190	
1240.045847,	142.303380	
1241.455852,	142.301830	
1242.865845,	142.300280	
1244.275849,	142.298600	
1245.685845,	142.297050	
1247.095849,	142.295630	
1248.505851,	142.293950	
1249.915848,	142.292270	
1251.325850,	142.290460	
1252.735850,	142.288910	
1254.145838,	142.287360	
1255.555841,	142.285930	
1256.965844,	142.284000	
1258.375849,	142.282570	
1259.785854,	142.280890	
1261.195850,	142.279600	
1262.605852,	142.278050	
1264.015846,	142.276240	
1265.425850,	142.274690	
1266.835846,	142.272620	
1268.245848,	142.271330	
1269.655837,	142.269390	
1271.065848,	142.268230	
1272.475849,	142.266680	
1273.885851,	142.265000	
1275.295846,	142.263190	
1276.705843,	142.261640	
1278.115846,	142.260220	
1279.525851,	142.258540	
1280.935847,	142.256990	
1282.345852,	142.255180	
1283.755850,	142.253760	
1285.165845,	142.252080	
1286.575854,	142.250530	
1287.985856,	142.248980	
1289.395853,	142.247420	
1290.805850,	142.245870	
1292.215849,	142.244070	
1293.625845,	142.242390	
1295.035873,	142.241090	
1296.445853,	142.239410	
1297.855853,	142.237990	
1299.265847,	142.236050	
1300.675844,	142.234630	
1302.085845,	142.232950	
1303.495852,	142.231660	
1304.905846,	142.230110	
1306.315850,	142.228300	
1307.725846,	142.226750	
1309.135847,	142.224940	
1310.545851,	142.223390	
1311.955844,	142.221970	
1313.365845,	142.220160	
1314.775845,	142.218740	
1316.185846,	142.217320	
1317.595844,	142.215640	
1319.005844,	142.214210	
1320.415835,	142.212660	
1321.825840,	142.210730	
1323.235840,	142.209430	
1324.645848,	142.207880	
1326.055846,	142.206200	
1327.465842,	142.204650	
1328.875839,	142.203100	
1330.285840,	142.201420	
1331.695847,	142.199870	
1333.105845,	142.198320	
1334.515851,	142.196770	
1335.925848,	142.195350	
1337.335845,	142.193540	
1338.745852,	142.192250	
1340.155848,	142.190570	
1341.565844,	142.189140	
1342.975846,	142.187590	
1344.385850,	142.185780	
1345.795850,	142.184490	
1347.205850,	142.182810	
1348.615844,	142.181390	
1350.025850,	142.179450	
1351.435850,	142.178030	
1352.845848,	142.176350	
1354.255846,	142.174930	
1355.665848,	142.173380	
1357.075858,	142.171960	
1358.485851,	142.170410	
1359.895844,	142.168860	
1361.305849,	142.167180	
1362.715845,	142.165500	
1364.125846,	142.163950	
1365.535849,	142.162400	
1366.945845,	142.160970	
1368.355846,	142.159420	
1369.765851,	142.157870	
1371.175849,	142.156190	
1372.585853,	142.154770	
1373.995850,	142.153220	
1375.405849,	142.151410	
1376.815847,	142.149990	
1378.225850,	142.148310	
1379.635847,	142.146630	
1381.045845,	142.145600	
1382.455848,	142.144170	
1383.865849,	142.142110	
1385.275845,	142.140560	
1386.685845,	142.139010	
1388.095843,	142.137580	
1389.505850,	142.136290	
1390.915847,	142.134610	
1392.325847,	142.133320	
1393.735849,	142.131250	
1395.145850,	142.130090	
1396.555849,	142.128280	
1397.965850,	142.126990	
1399.375841,	142.125310	
1400.785847,	142.123890	
1402.195848,	142.121950	
1403.605851,	142.120660	
1405.015845,	142.119110	
1406.425851,	142.117680	
1407.835849,	142.116130	
1409.245846,	142.114580	
1410.655843,	142.113160	
1412.065845,	142.111350	
1413.475848,	142.110190	
1414.885901,	142.108510	
1416.295848,	142.106960	
